ADM1_EN,ADM2_EN,a7,a8,a10_child,a10_adult,a10_elder,a11,a14,a9_male,a9_female,g5,g6,g8,g9,g19,g4,g7_i,g7_ii,g7_iii,g7_iv,g7_v,g7_vi,g7_vii,g7_viii,g7_ix,g7_x,g7_xi,g7_xii,g7_xiii,g7_xiv,a13,g44,g45_i,g45_ii,g45_iii,g45_iv,g45_v,g45_vi,g45_vii,b5,b6,b7,g15_i,g15_ii,g15_iii,g29,g25,g26,g28,g34_i,g34_ii,g34_iii,g34_iv,g34_v,g34_vi,g34_vii,g34_viii,g34_ix,g34_x,g34_xi,g32,g35,c3,g56,g57,c2,g95,g94,g96,g97,g99,g98,b1,b3,g46,g102,g37,g38,g39,b2,g41,a16,a17,g85,g89,g68,g66,g64,g65_i,g65_ii,g65_iii,g65_iv,g65_v,g65_vi,g65_vii,g65_viii,g65_ix,g65_x,g54,g54_i,g54_ii,g54_iii,g54_v,g54_vi,c9,g61,g62_i,g62_ii,g63,g51,g51b,a12,g53a,g53b_i,g53b_ii,g53b_iii,g53b_iv,g53b_v,g53b_vi,g53b_vii,g52,a22,a24,a25,a29,a26_i,a26_ii,a26_iii,a26_iv,a26_xv,a26_v,a26_vi,a26_vii,a26_viii,a26_ix,a26_x,a26_xi,a26_xii,a26_xiii,a26_xiv,a15_i,a15_ii,a15_iii,a15_iv,a15_v,a15_xiv,a15_vi,a15_vii,a15_viii,a15_ix,a15_x,a15_xiii,a15_xii,a15_xi,a15_xv,a15_xvi,a15_xvii,a15_xviii,a15_xix,a15_xx,a15_xxi,a15_xxii,a15_xxiii,a15_xxiv,g67,g73,g74,f7,f7b,d1_ii,d1_iii,d1_iv,d1_v,d1_vi,d1_vii,d1_viii,d1_i,d1_ix,d1_x,d1_xi,d1_xii,d1_xiii,d2_ii,d2_iii,d2_iv,d2_v,d2_vi,d2_i,d2_vii,d2_viii,d2_ix,d2_x,d3_ii,d3_iii,d3_iv,d3_v,d3_i,d3_vi,d3_vii,d3_viii,d3_ix,d3_x,d3_xi,d3_xii,d3_xiii,d3_xiv,d3_xv,d4,d5_i,d5_ii,d5_iii,d5_iv,d5_v,d5_vi,d5_vii,d5_viii,d5_ix,d5_x,d6,d7,d10,d12,d15,indicative
Al-Sulaymaniyah,Derbendikhan,5.426229508,5.491803279,0.497066094,0.433899297,0.069034608,0.169491525,0.13559322,0.532721832,0.467278168,0.782608696,0.782608696,0.590163934,0.213114754,0,0.217391304,0,0,0.6,0,0.1,0,0,0,0.1,0,0.1,0.1,0,0.2,0,0.071428571,1,0.4,0.2,0,0,0,0,0.885245902,0.639344262,0.131147541,0.967213115,0.032786885,0,1,1,0.196721311,1,0.733333333,0,0,0.166666667,0.2,0.033333333,0,0.066666667,0.033333333,0,0,0.508196721,0.491803279,0.163934426,0.081967213,0.229508197,0.081967213,1,0.770491803,0.475409836,1,0.901639344,0.868852459,0.852459016,0.75,0.519230769,0.75,0.37704918,0.62295082,0.491803279,0.016393443,1,0,0.918032787,0.950819672,0.016393443,0.081967213,0.770491803,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0.6,0,0,0,0,0.06557377,0.06557377,0,0,0,0,0,0,0,0,0,0.262295082,0.049180328,1,1,0.697674419,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.534482759,0.137931034,0.017241379,0.224137931,0.086206897,0,0,0,0,0.051724138,0.706896552,0.534482759,0.034482759,0.086206897,0,0,0,0,0,0,0.017241379,0,0.017241379,0,0.568965517,0.017241379,0.049180328,0,0.3,0.836065574,0.409836066,0.737704918,0,0.049180328,0.049180328,0.049180328,0.098360656,0,0.163934426,0,0,0.06557377,1,0.672131148,0.409836066,0.081967213,0.114754098,0,0,0,0,0,0.475409836,0.639344262,0.327868852,0.885245902,0.163934426,0.06557377,0,0,0,0,0,0,0,0,0,0.163934426,0,1,0,0,0,0,0,0,0,0.1,0.5,0.444444444,0,0.3,0.016393443,1
Al-Sulaymaniyah,Dokan,5.6,5.6,0.453736772,0.508544372,0.037718855,0.083333333,0.133333333,0.455363155,0.544636845,0.675,0.675,0.65,0.183333333,0,0.325,0,0,0.615384615,0.076923077,0.076923077,0,0,0,0.076923077,0,0.076923077,0,0,0.230769231,0,0.066666667,1,0,0,0,0.5,0.125,0,0.883333333,0.633333333,0.2,0.983333333,0.016666667,0,0.966666667,0.983333333,0.183333333,0.983333333,0.842105263,0.052631579,0,0,0.368421053,0.052631579,0,0.052631579,0.052631579,0,0,0.316666667,0.416666667,0.05,0.016666667,0.133333333,0.066666667,1,0.916666667,0.233333333,1,0.916666667,0.883333333,0.916666667,1,0.509803922,0.833333333,0.35,0.716666667,0.516666667,0.033333333,0.883333333,0.05,0.933333333,0.983333333,0.016666667,0.050847458,0.916666667,0.018181818,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0.666666667,0,0,0,0,0.133333333,0.133333333,0,0,0,0,0,0,0,0,0,0.083333333,0.033333333,1,1,0.631578947,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.55,0.416666667,0.033333333,0.183333333,0.033333333,0,0,0,0,0,0.55,0.583333333,0.066666667,0.083333333,0,0,0,0.066666667,0,0,0,0,0,0,0.616666667,0.033333333,0.016666667,0,0.363636364,0.816666667,0.266666667,0.766666667,0.016666667,0.016666667,0,0,0.283333333,0,0.183333333,0,0,0.116666667,0.783333333,0.633333333,0.533333333,0.116666667,0.2,0.05,0,0.033333333,0,0,0.266666667,0.65,0.6,0.866666667,0.133333333,0.05,0.016666667,0,0,0,0,0,0,0,0,0.183333333,0.090909091,0.909090909,0,0,0,0,0,0.090909091,0,0,0.181818182,0.8,0,0.4,0.05,1
Al-Sulaymaniyah,Halabcha,6.590163934,6.557377049,0.529587444,0.459620207,0.01079235,0.052631579,0.01754386,0.496076396,0.503923604,0.666666667,0.705882353,0.770491803,0.360655738,0.019607843,0.294117647,0.058823529,0,0.411764706,0,0.294117647,0,0,0,0.058823529,0,0.058823529,0,0,0.176470588,0.021276596,0.181818182,1,0.2,0,0,0.4,0.2,0,0.803278689,0.426229508,0.098360656,0.967213115,0.032786885,0,0.967213115,0.983606557,0.245901639,0.967213115,0.633333333,0.033333333,0,0.033333333,0.133333333,0,0,0,0,0,0,0.557377049,0.639344262,0.098360656,0.016393443,0.163934426,0.016393443,1,0.803278689,0.213114754,1,0.786885246,0.901639344,0.918032787,#N/A,0.482758621,0.683333333,0.327868852,0.606557377,0.37704918,0,0.983606557,0,0.885245902,0.983606557,0.049180328,0.262295082,0.868852459,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0.166666667,0,0,0,0,0.114754098,0.06557377,0,0,0,0,0,0,0,0,0,0.114754098,0.06557377,1,1,0.711111111,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.6,0.3,0.033333333,0.1,0.066666667,0,0,0,0.016666667,0.066666667,0.516666667,0.6,0.1,0.066666667,0,0,0,0.016666667,0,0,0,0,0,0,0.616666667,0.033333333,0,0,0.6,0.93442623,0.524590164,0.819672131,0,0,0,0,0.06557377,0,0.163934426,0,0,0.049180328,0.704918033,0.62295082,0.442622951,0.229508197,0.262295082,0.114754098,0,0.016393443,0,0,0.442622951,0.426229508,0.37704918,0.819672131,0.262295082,0.229508197,0.06557377,0.016393443,0,0,0,0,0,0,0,0.163934426,0,1,0,0,0,0,0,0.3,0,0,0.6,0.4,0,0.6,0.032786885,1
Al-Sulaymaniyah,Kalar,5.133333333,5.133333333,0.380128205,0.552200855,0.06767094,0.1,0.1,0.54087149,0.45912851,0.731707317,0.731707317,0.783333333,0.15,0.024390244,0.268292683,0,0.181818182,0.545454545,0.090909091,0.181818182,0,0,0,0.181818182,0,0,0,0,0.090909091,0.01754386,0.071428571,1,0.142857143,0.142857143,0.142857143,0.428571429,0.142857143,0,0.816666667,0.433333333,0.116666667,1,0,0,0.95,1,0.316666667,1,0.72,0.04,0,0.16,0.24,0.04,0,0,0,0,0,0.416666667,0.466666667,0.066666667,0,0.15,0.033333333,1,0.883333333,0.216666667,1,0.833333333,0.9,0.616666667,0.6,0.369565217,0.576271186,0.366666667,0.566666667,0.333333333,0.016666667,0.983333333,0,0.916666667,0.95,0.033333333,0.083333333,0.616666667,0.017857143,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,1,0,0,0,0,0.166666667,0.133333333,0,0,0,0,0,0,0,0,0,0.083333333,0.083333333,1,1,0.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.593220339,0.13559322,0,0.13559322,0.016949153,0,0,0,0,0.016949153,0.508474576,0.491525424,0.101694915,0.06779661,0,0.016949153,0,0.033898305,0,0,0.033898305,0,0.06779661,0,0.542372881,0,0.016666667,0,0.25,0.75,0.3,0.683333333,0,0,0,0.016666667,0.066666667,0.016666667,0.2,0,0,0.183333333,0.8,0.483333333,0.4,0.166666667,0.183333333,0.066666667,0,0,0,0,0.533333333,0.483333333,0.35,0.8,0.2,0.1,0.016666667,0,0,0,0,0,0,0,0,0.066666667,0,1,0,0,0,0,0,0.25,0,0,0.75,0.25,0,0.25,0.033333333,1
Al-Sulaymaniyah,Rania,5.393442623,5.360655738,0.430236794,0.529579755,0.04018345,0.016393443,0.032786885,0.537379651,0.462620349,0.538461538,0.538461538,0.721311475,0.278688525,0.025641026,0.461538462,0,0,0.277777778,0,0.166666667,0,0,0,0.333333333,0,0,0.055555556,0,0.222222222,0.018867925,0.1875,1,0,0,0,0,0,0,0.852459016,0.524590164,0.196721311,0.967213115,0.032786885,0,0.950819672,1,0.262295082,0.983606557,0.891891892,0.027027027,0,0.027027027,0.405405405,0.162162162,0,0.027027027,0.054054054,0,0,0.344262295,0.459016393,0.081967213,0.032786885,0.131147541,0,1,0.983606557,0.114754098,1,0.803278689,0.93442623,0.918032787,#N/A,0.438596491,0.557377049,0.37704918,0.672131148,0.426229508,0.049180328,0.967213115,0.016393443,0.93442623,0.983606557,0.016393443,0.147540984,0.770491803,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0.6,0,0,0,0,0.114754098,0.081967213,0,0,0,0,0,0,0,0,0,0.06557377,0.032786885,1,1,0.555555556,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.655737705,0.016393443,0,0.032786885,0.032786885,0,0,0.016393443,0,0.032786885,0.606557377,0.557377049,0.213114754,0.114754098,0,0.016393443,0,0.032786885,0,0,0.081967213,0,0,0,0.606557377,0,0,0,#N/A,0.918032787,0.37704918,0.918032787,0,0.016393443,0,0,0.049180328,0,0.327868852,0,0,0.06557377,0.721311475,0.68852459,0.606557377,0.278688525,0.081967213,0.016393443,0,0,0,0,0.639344262,0.62295082,0.262295082,0.901639344,0.229508197,0.049180328,0.016393443,0,0,0,0,0,0,0,0,0.016393443,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,1
Babil,Al-Mussyab,6.183333333,5.166666667,0.322251082,0.64270202,0.035046898,0.101694915,0.083333333,0.469493146,0.530506854,0.923076923,0.923076923,0.983333333,0.166666667,0,0.076923077,0.333333333,0,0,0,0.333333333,0,0,0,0,0,0.333333333,0,0,0,0,0,1,0.333333333,0,0.333333333,0,0.333333333,0,0.6,0.283333333,0.216666667,0.966666667,0.033333333,0,0.983333333,1,0.7,1,0.365853659,0,0.024390244,0,0,0.024390244,0,0.317073171,0.219512195,0.048780488,0.024390244,0.616666667,0.483333333,0.066666667,0.016666667,0.016666667,0.183333333,1,0.983333333,0.266666667,1,0.9,1,0.383333333,0.5,0.482142857,0.783333333,0.5,0.55,0.05,0,0.983333333,0.1,0.633333333,0.8,0.283333333,0.1,0.116666667,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.017241379,0,0,0,0,0,0.5,0,0,0,0,0.533333333,0.416666667,0,0.016949153,0,0,0,0.016949153,0,0,0,0.183333333,0.016666667,1,0.8,0.90625,1,0.285714286,0.071428571,0,0.071428571,0,0.642857143,0,0,0,0,0,0,0,0,0.727272727,0.340909091,0.386363636,0.272727273,0.136363636,0,0,0,0,0.068181818,0.113636364,0.136363636,0.090909091,0.090909091,0,0.068181818,0,0.045454545,0.022727273,0,0.159090909,0,0,0,0.181818182,0.386363636,0.283333333,0.029411765,0.727272727,0.566666667,0.183333333,0.716666667,0.216666667,0.216666667,0.133333333,0.366666667,0.416666667,0.016666667,0,0,0,0,0.683333333,0.266666667,0.333333333,0.616666667,0.25,0.1,0.033333333,0.166666667,0,0,0.683333333,0.533333333,0.783333333,0.3,0.016666667,0.066666667,0.066666667,0,0,0.183333333,0.083333333,0,0,0,0,0.183333333,0.454545455,1,0.090909091,0,0,0,0,0,0,0,1,0,0,0.727272727,0.533333333,1
Baghdad,Al-Adhamiya,6.173469388,5.357142857,0.398420797,0.58931001,0.012269193,0.082474227,0.113402062,0.515958786,0.484041214,0.796875,0.8125,0.979591837,0.193877551,0.03125,0.1875,0,0,0.307692308,0.153846154,0.153846154,0,0,0,0,0.461538462,0,0.307692308,0,0.153846154,0.011494253,0.173913043,1,0,0,0.125,0,0.25,0,0.408163265,0.173469388,0.132653061,0.897959184,0.102040816,0,0.969387755,1,0.846938776,1,0.310344828,0,0,0,0,0,0,0.224137931,0.172413793,0.034482759,0,0.663265306,0.357142857,0.071428571,0,0,0.051020408,0.989795918,0.989795918,0.153061224,1,0.897959184,0.979591837,0.306122449,0.428571429,0.614457831,0.683673469,0.489795918,0.56122449,0.071428571,0.010204082,0.989795918,0.010204082,0.724489796,0.734693878,0.265306122,0.06122449,0.183673469,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.020833333,0,0.010204082,0,0.010204082,0,0.428571429,0,0,0,0,0.530612245,0.336734694,0,0.010204082,0,0,0,0,0,0,0,0.295918367,0.030612245,1,0.828947368,0.737704918,0.823529412,0.117647059,0.235294118,0.352941176,0,0,0.529411765,0,0,0,0,0,0,0,0,0.342465753,0.178082192,0.260273973,0.02739726,0.082191781,0.02739726,0,0,0,0.273972603,0.260273973,0.328767123,0.082191781,0.150684932,0.01369863,0.01369863,0,0.02739726,0.095890411,0.068493151,0.164383562,0,0.04109589,0,0.356164384,0.260273973,0.193877551,0,0.791666667,0.43877551,0.244897959,0.663265306,0.142857143,0.244897959,0.091836735,0.37755102,0.336734694,0,0.040816327,0,0.010204082,0.102040816,0.724489796,0.448979592,0.408163265,0.530612245,0.244897959,0.071428571,0.040816327,0.132653061,0,0,0.428571429,0.571428571,0.683673469,0.551020408,0.051020408,0.183673469,0.051020408,0.010204082,0.010204082,0.081632653,0.040816327,0,0,0,0,0.244897959,0.25,0.958333333,0,0,0,0.125,0.083333333,0,0,0,1,0,0.043478261,0.826086957,0.37755102,1
Baghdad,Al-Kadhmiyah,5.448275862,5.206896552,0.401620283,0.560700251,0.037679466,0.166666667,0.153846154,0.498358315,0.501641685,0.816666667,0.816666667,0.91954023,0.068965517,0.016666667,0.183333333,0.181818182,0,0.090909091,0,0.090909091,0,0,0,0,0.090909091,0.363636364,0.181818182,0,0,0.028985507,0.12,0.928571429,0.285714286,0.142857143,0,0.785714286,0.071428571,0,0.793103448,0.252873563,0.149425287,0.873563218,0.126436782,0,0.862068966,0.988505747,0.390804598,0.988505747,0.339285714,0,0,0,0,0.071428571,0,0.25,0.107142857,0.035714286,0,0.195402299,0.356321839,0.08045977,0.045977011,0.08045977,0.068965517,0.91954023,0.977011494,0.632183908,1,0.781609195,0.91954023,0.724137931,0.75,0.648648649,0.804597701,0.436781609,0.689655172,0.298850575,0,0.988505747,0.091954023,0.425287356,0.931034483,0.218390805,0.073170732,0.425287356,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.012195122,0.011627907,0.011904762,0,0.011764706,0,0.857142857,0.022988506,0.011494253,0.011494253,0.023809524,0.08045977,0.068965517,0.011494253,0,0,0,0,0,0,0,0,0.275862069,0.034482759,1,0.847457627,0.804347826,0.5,0.166666667,0.333333333,0.166666667,0,0.083333333,0.416666667,0,0,0,0,0,0,0,0,0.19047619,0,0.031746032,0.015873016,0.015873016,0,0,0,0,0.333333333,0.412698413,0.53968254,0,0.238095238,0,0.015873016,0.015873016,0.063492063,0.015873016,0.047619048,0.317460317,0,0,0,0.53968254,0.031746032,0.252873563,0.071428571,0.25,0.563218391,0.356321839,0.344827586,0.16091954,0.310344828,0.022988506,0.310344828,0.310344828,0.08045977,0.011494253,0,0,0.045977011,0.494252874,0.298850575,0.103448276,0.448275862,0.229885057,0.298850575,0.011494253,0.137931034,0.091954023,0.068965517,0.298850575,0.436781609,0.482758621,0.655172414,0.367816092,0.229885057,0.011494253,0,0,0.08045977,0.034482759,0,0,0,0,0.045977011,0,1,0,0,0,0,0,0,0,0,1,0,0,0.25,0.436781609,1
Baghdad,Al-Karkh,5.567901235,5.407407407,0.399710785,0.563785287,0.036503928,0.1625,0.15,0.466927696,0.533072304,0.84,0.84,1,0.12345679,0.02,0.16,0.25,0,0.375,0.125,0,0.125,0,0,0,0.25,0.125,0.25,0,0.125,0.040540541,0.19047619,0.625,0.375,0.375,0,0.125,0.375,0,0.62962963,0.283950617,0.098765432,0.950617284,0.049382716,0,0.938271605,0.987654321,0.864197531,0.987654321,0.411764706,0,0,0,0.019607843,0.039215686,0.019607843,0.176470588,0.156862745,0.019607843,0,0.728395062,0.345679012,0.074074074,0,0.012345679,0.185185185,0.938271605,0.975308642,0.283950617,1,0.802469136,0.975308642,0.4625,0.888888889,0.534246575,0.851851852,0.691358025,0.777777778,0.111111111,0,1,0.086419753,0.703703704,0.728395062,0.185185185,0.12345679,0.271604938,0.012658228,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.050632911,0,0.024691358,0,0,0,0.666666667,0,0,0,0.012987013,0.271604938,0.185185185,0,0.037037037,0.025,0.012345679,0,0.0125,0,0.0125,0,0.222222222,0.037037037,1,0.916666667,0.734375,1,0.222222222,0.222222222,0.333333333,0.111111111,0,0.111111111,0,0,0.111111111,0,0,0,0,0,0.397058824,0.102941176,0.176470588,0.044117647,0.117647059,0.029411765,0.029411765,0,0,0.191176471,0.205882353,0.367647059,0.102941176,0.088235294,0,0.014705882,0,0.029411765,0.014705882,0.029411765,0.088235294,0,0.014705882,0.014705882,0.426470588,0.176470588,0.148148148,0.029411765,0.857142857,0.382716049,0.37037037,0.604938272,0.283950617,0.24691358,0.098765432,0.296296296,0.358024691,0.037037037,0.098765432,0.024691358,0,0,0.567901235,0.604938272,0.37037037,0.358024691,0.382716049,0.098765432,0.074074074,0.049382716,0.012345679,0.012345679,0.49382716,0.604938272,0.691358025,0.333333333,0.160493827,0.172839506,0.135802469,0.037037037,0.037037037,0.049382716,0.024691358,0,0,0,0,0.172839506,0.214285714,1,0,0,0,0.142857143,0,0,0,0,1,0,0,0.923076923,0.333333333,1
Baghdad,Al-Mahmoudiya,5.47706422,5.036697248,0.39150648,0.586475171,0.022018349,0.119266055,0.110091743,0.481891656,0.518108344,0.925373134,0.925373134,0.990825688,0.128440367,0.014925373,0.074626866,0.4,0,0.4,0.2,0,0.2,0,0,0,0,0,0.2,0,0,0.022727273,0.157894737,0.428571429,0,0.142857143,0.571428571,0.142857143,0.285714286,0,0.559633028,0.211009174,0.165137615,0.880733945,0.119266055,0,0.917431193,1,0.752293578,1,0.338461538,0,0,0,0,0.107692308,0,0.2,0.092307692,0.015384615,0,0.568807339,0.339449541,0.082568807,0.009174312,0,0.201834862,0.935779817,0.990825688,0.28440367,1,0.779816514,0.990825688,0.357798165,0.666666667,0.444444444,0.816513761,0.633027523,0.623853211,0.082568807,0,1,0.110091743,0.605504587,0.697247706,0.247706422,0.165137615,0.357798165,0.009433962,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0.444444444,0,0,0,0,0.275229358,0.211009174,0.018348624,0.009174312,0.009174312,0,0,0,0,0,0,0.293577982,0.018348624,1,0.895348837,0.635135135,0.642857143,0.428571429,0.071428571,0.428571429,0,0,0.214285714,0,0,0,0,0,0,0,0,0.463157895,0.273684211,0.189473684,0.147368421,0.063157895,0.021052632,0,0.021052632,0,0.084210526,0.136842105,0.147368421,0.094736842,0.021052632,0.010526316,0.031578947,0,0.052631579,0.042105263,0.052631579,0.221052632,0,0.021052632,0,0.2,0.189473684,0.174311927,0.034482759,0.708333333,0.376146789,0.28440367,0.587155963,0.266055046,0.247706422,0.073394495,0.266055046,0.330275229,0.036697248,0.110091743,0,0.009174312,0.073394495,0.467889908,0.376146789,0.394495413,0.559633028,0.302752294,0.119266055,0.110091743,0.091743119,0.009174312,0,0.440366972,0.559633028,0.651376147,0.311926606,0.091743119,0.174311927,0.128440367,0.009174312,0.036697248,0.100917431,0.036697248,0,0,0,0,0.220183486,0.333333333,1,0,0.041666667,0,0.208333333,0,0.083333333,0,0,1,0,0,0.772727273,0.28440367,1
Diyala,Al-Khalis,5.53125,5.53125,0.364876067,0.574901169,0.060222763,0.252631579,0.210526316,0.511964511,0.488035489,0.78125,0.796875,0.989583333,0.104166667,0.03125,0.203125,0,0,0.461538462,0,0,0,0,0,0,0,0.461538462,0.076923077,0,0,0.025,0.230769231,0.782608696,0.52173913,0.043478261,0.260869565,0.391304348,0.130434783,0,0.6875,0.072916667,0.052083333,0.895833333,0.104166667,0,0.822916667,1,0.447916667,1,0.285714286,0,0,0,0.017857143,0.017857143,0,0.267857143,0.053571429,0.053571429,0.017857143,0.104166667,0.489583333,0.072916667,0.010416667,0.0625,0.010416667,0.989583333,0.958333333,0.666666667,1,1,0.989583333,0.875,1,0.84057971,0.895833333,0.291666667,0.458333333,0.291666667,0.09375,1,0.083333333,0.375,1,0.208333333,0.058139535,0.479166667,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0.571428571,0,0,0,0.035294118,0.020833333,0.020833333,0,0.010416667,0.010416667,0,0,0,0,0,0,0.145833333,0.020833333,1,1,0.98630137,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.06741573,0,0,0.033707865,0,0,0,0,0,0.561797753,0.415730337,0.550561798,0.056179775,0.269662921,0,0.011235955,0,0.011235955,0.011235955,0.02247191,0.359550562,0,0,0,0.595505618,0,0.322916667,0,0.083333333,0.385416667,0.28125,0.458333333,0.114583333,0.302083333,0.114583333,0.302083333,0.510416667,0.114583333,0.020833333,0,0,0,0.489583333,0.135416667,0.104166667,0.520833333,0.322916667,0.604166667,0.010416667,0.25,0.0625,0.041666667,0.427083333,0.239583333,0.604166667,0.458333333,0.364583333,0.291666667,0,0,0,0.041666667,0.03125,0.0625,0.03125,0.041666667,0,0.125,0,1,0,0,0,0,0,0,0,0,1,0,0,0.25,0.46875,0
Diyala,Baquba,5.119205298,5.006622517,0.362765068,0.587692201,0.049542731,0.167785235,0.153333333,0.484905584,0.515094416,0.888888889,0.898989899,0.986754967,0.079470199,0.01010101,0.101010101,0,0,0.181818182,0.090909091,0.090909091,0,0,0.090909091,0,0.090909091,0.454545455,0,0,0,0.023622047,0.102564103,0.869565217,0.130434783,0.043478261,0.130434783,0.565217391,0.086956522,0,0.675496689,0.072847682,0.033112583,0.920529801,0.079470199,0,0.781456954,1,0.456953642,0.993377483,0.259259259,0,0,0,0.009259259,0.055555556,0,0.25,0.046296296,0.009259259,0,0.119205298,0.470198675,0.046357616,0.006622517,0.026490066,0.033112583,0.947019868,0.98013245,0.682119205,1,0.947019868,1,0.781456954,0.863636364,0.803571429,0.845637584,0.370860927,0.536423841,0.331125828,0.013245033,0.993377483,0.026490066,0.450331126,0.966887417,0.125827815,0.066225166,0.311258278,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.02027027,0,0,0,0.01986755,0,0.428571429,0,0,0,0.007352941,0.072847682,0.059602649,0,0,0,0,0,0,0,0,0,0.178807947,0.013245033,1,1,0.968,1,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0.092857143,0.007142857,0.014285714,0.035714286,0,0,0,0.007142857,0,0.471428571,0.428571429,0.542857143,0.078571429,0.292857143,0.007142857,0.014285714,0.007142857,0.035714286,0.014285714,0.05,0.314285714,0,0,0,0.592857143,0.014285714,0.271523179,0,#N/A,0.377483444,0.324503311,0.390728477,0.17218543,0.284768212,0.112582781,0.324503311,0.430463576,0.099337748,0.006622517,0,0.006622517,0.01986755,0.476821192,0.165562914,0.158940397,0.536423841,0.298013245,0.430463576,0.052980132,0.19205298,0.046357616,0.033112583,0.298013245,0.390728477,0.503311258,0.476821192,0.38410596,0.291390728,0.013245033,0.006622517,0.006622517,0.013245033,0.066225166,0.092715232,0.013245033,0.033112583,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.390728477,0
